event_type,start,end
stationary,20200821 22:12:04.584,20200821 22:13:00.444
stationary,20200821 23:12:04.856,20200821 23:13:00.548
stationary,20200822 00:12:04.507,20200822 00:13:00.589
stationary,20200822 01:12:04.505,20200822 01:13:00.548
stationary,20200822 02:12:04.529,20200822 02:13:00.514
stationary,20200822 03:12:04.560,20200822 03:13:00.432
stationary,20200822 04:12:04.632,20200822 04:13:00.521
bathing,20200822 05:07:00.737,20200822 05:08:05.504
stationary,20200827 20:24:01.507,20200827 20:24:56.783
flight_cruising,20200827 20:24:58.526,20200827 20:25:03.498
stationary,20200827 20:26:46.969,20200827 20:30:26.819
stationary,20200827 20:30:35.503,20200827 20:32:47.091
flight_cruising,20200827 20:38:05.599,20200827 20:39:07.429
flight_cruising,20200827 20:39:17.542,20200827 20:40:16.534
flight_cruising,20200827 20:45:06.525,20200827 20:46:07.459
flight_cruising,20200827 20:52:20.486,20200827 20:55:09.710
flight_cruising,20200827 20:56:16.663,20200827 20:57:21.424
flight_cruising,20200827 21:36:16.008,20200827 21:44:17.066
stationary,20200827 21:44:17.085,20200827 21:49:30.934
flight_cruising,20200827 21:49:33.388,20200827 21:56:40.744
flight_cruising,20200827 22:16:19.582,20200827 22:18:56.566
flight_cruising,20200827 22:19:14.597,20200827 22:22:52.095
stationary,20200827 22:25:09.635,20200827 22:28:43.243
flight_cruising,20200827 22:29:52.560,20200827 22:33:05.347
flight_cruising,20200827 22:33:22.589,20200827 22:53:30.497
stationary,20200827 22:55:35.621,20200827 22:56:47.478
stationary,20200827 22:57:25.581,20200827 22:58:38.401
stationary,20200827 22:59:16.504,20200827 23:00:20.471
stationary,20200827 23:00:39.561,20200827 23:01:37.370
flight_cruising,20200827 23:10:02.242,20200827 23:26:30.315
flight_cruising,20200912 21:12:04.598,20200912 21:13:00.640
flight_cruising,20200912 22:12:04.647,20200912 22:13:00.533
foraging_dive,20200912 23:07:14.249,20200912 23:07:23.681
foraging_dive,20200912 23:08:15.481,20200912 23:08:24.761
foraging_dive,20200912 23:06:10.103,20200912 23:06:19.239
surface_seizing,20200912 23:06:25.841,20200912 23:06:42.780
surface_seizing,20200912 23:07:31.739,20200912 23:07:39.962
surface_seizing,20200912 23:08:29.967,20200912 23:08:39.679
flight_cruising,20200913 00:08:36.583,20200913 00:09:32.661
flight_cruising,20200913 01:15:47.576,20200913 01:16:43.434
stationary,20200913 03:15:47.650,20200913 03:16:43.510
flight_cruising,20200913 04:15:47.584,20200913 04:16:43.619
stationary,20200913 05:15:47.685,20200913 05:16:43.568
stationary,20200913 06:15:47.659,20200913 06:16:43.541
foraging_dive,20200913 06:55:47.513,20200913 06:55:50.716
foraging_dive,20200913 06:56:01.298,20200913 06:56:09.381
foraging_dive,20200913 06:56:17.627,20200913 06:56:22.054
foraging_dive,20200913 06:56:34.848,20200913 06:56:42.133
foraging_dive,20200913 06:56:47.676,20200913 06:56:53.124
foraging_dive,20200913 06:57:07.226,20200913 06:57:13.820
foraging_dive,20200913 06:57:16.808,20200913 06:57:21.201
foraging_dive,20200913 06:57:27.782,20200913 06:57:31.015
foraging_dive,20200913 06:57:34.105,20200913 06:57:37.952
foraging_dive,20200913 06:57:43.929,20200913 06:57:48.639
foraging_dive,20200913 06:57:51.922,20200913 06:57:56.394
foraging_dive,20200913 06:57:56.396,20200913 06:57:59.400
foraging_dive,20200913 06:57:59.402,20200913 06:58:03.843
foraging_dive,20200913 06:58:10.997,20200913 06:58:14.984
foraging_dive,20200913 06:58:23.419,20200913 06:58:27.419
foraging_dive,20200913 06:58:27.423,20200913 06:58:31.731
foraging_dive,20200913 06:58:31.736,20200913 06:58:35.273
foraging_dive,20200913 06:59:32.106,20200913 06:59:36.663
foraging_dive,20200913 07:00:38.215,20200913 07:00:43.103
foraging_dive,20200913 07:03:58.603,20200913 07:04:02.949
foraging_dive,20200913 07:04:23.945,20200913 07:04:28.212
foraging_dive,20200913 07:04:30.455,20200913 07:04:34.391
foraging_dive,20200913 07:03:26.012,20200913 07:03:29.708
foraging_dive,20200913 07:02:49.249,20200913 07:02:51.945
