event_type,start,end
flight_cruising,20220829 20:40:32.793,20220829 20:45:34.358
flight_cruising,20220829 21:48:52.096,20220829 21:51:18.537
flight_cruising,20220829 22:04:42.805,20220829 22:09:44.664
flight_cruising,20220829 22:17:36.552,20220829 22:22:38.509
flight_cruising,20220829 23:18:04.922,20220829 23:23:06.493
foraging_dive,20220830 04:40:23.217,20220830 04:40:27.178
foraging_dive,20220830 04:40:31.884,20220830 04:40:34.425
flight_cruising,20220829 21:38:24.672,20220829 21:38:32.075
flight_cruising,20220902 20:47:59.632,20220902 20:49:11.594
flight_cruising,20220902 21:19:46.791,20220902 21:24:48.540
flight_cruising,20220902 22:52:45.822,20220902 22:53:39.148
unknown,20220903 00:05:40.320,20220903 00:10:42.690
unknown,20220903 00:19:30.294,20220903 00:22:21.229
foraging_dive,20220904 03:35:47.287,20220904 03:35:55.355
foraging_dive,20220904 03:37:37.278,20220904 03:37:48.669
unknown,20220902 20:14:40.797,20220902 20:19:41.085
flight_cruising,20220902 20:30:06.184,20220902 20:33:54.666
flight_cruising,20220902 20:48:11.791,20220902 20:49:05.678
flight_cruising,20220903 01:22:19.819,20220903 01:26:29.501
flight_cruising,20220903 02:11:27.640,20220903 02:16:29.624
unknown,20220903 02:57:49.264,20220903 03:02:50.947
foraging_dive,20220904 03:38:24.502,20220904 03:38:30.435
flight_cruising,20220826 20:37:27.710,20220826 20:39:44.491
stationary,20220826 20:39:44.504,20220826 20:42:25.555
flight_cruising,20220826 21:44:45.609,20220826 21:45:42.014
stationary,20220826 21:45:42.034,20220826 21:49:43.580
stationary,20220827 00:09:56.667,20220827 00:12:05.543
flight_cruising,20220827 02:06:20.507,20220827 02:06:39.414
stationary,20220827 02:06:39.422,20220827 02:11:18.577
unknown,20220826 20:53:46.516,20220826 20:58:01.020
flight_cruising,20220826 21:31:04.530,20220826 21:32:41.050
stationary,20220826 21:32:41.105,20220826 21:34:03.903
flight_cruising,20220826 21:34:07.176,20220826 21:35:26.689
flight_cruising,20220826 23:51:22.726,20220826 23:52:10.148
stationary,20220826 23:52:10.195,20220826 23:56:20.441
flight_cruising,20220827 01:40:27.360,20220827 01:45:24.856
unknown,20220827 03:37:29.784,20220827 03:40:16.542
stationary,20220826 20:24:08.129,20220826 20:26:38.641
stationary,20220828 21:09:09.647,20220828 21:11:00.224
flight_cruising,20220828 21:11:03.477,20220828 21:11:33.825
stationary,20220912 23:02:27.819,20220912 23:04:45.232
stationary,20220912 23:09:25.526,20220912 23:14:27.515
foraging_dive,20220913 04:15:52.728,20220913 04:16:09.504
foraging_dive,20220913 04:19:23.665,20220913 04:19:36.868
foraging_dive,20220913 04:22:15.164,20220913 04:22:29.710
foraging_dive,20220913 05:18:08.000,20220913 05:18:27.776
foraging_dive,20220913 05:19:05.705,20220913 05:19:22.982
foraging_dive,20220913 05:22:35.200,20220913 05:22:56.226
unknown,20220913 05:30:34.740,20220913 05:35:35.742
flight_cruising,20220913 06:18:20.636,20220913 06:20:24.590
stationary,20220913 06:20:24.730,20220913 06:23:22.468
flight_cruising,20220913 06:43:24.990,20220913 06:48:05.123
foraging_dive,20220913 06:51:58.400,20220913 06:52:11.200
foraging_dive,20220913 06:52:39.270,20220913 06:52:52.048
flight_cruising,20220913 08:47:59.755,20220913 08:48:43.535
flight_cruising,20220913 09:04:44.856,20220913 09:08:06.223
stationary,20220913 09:08:06.480,20220913 09:09:47.487
stationary,20220913 20:41:48.336,20220913 20:45:27.413
foraging_dive,20220830 04:43:30.518,20220830 04:43:32.822
surface_seizing,20220830 04:36:40.806,20220830 04:37:06.553
flight_cruising,20220830 07:07:12.463,20220830 07:11:56.527
flight_cruising,20220830 23:22:40.601,20220830 23:27:42.149
flight_cruising,20220829 22:21:18.532,20220829 22:22:06.668
stationary,20220829 22:22:42.580,20220829 22:26:20.619
flight_cruising,20220829 23:09:49.001,20220829 23:14:49.819
stationary,20220830 02:08:39.788,20220830 02:10:05.450
flight_cruising,20220830 02:05:03.595,20220830 02:08:39.761
flight_cruising,20220830 03:50:29.504,20220830 03:55:31.694
stationary,20220830 22:00:07.030,20220830 22:02:29.643
stationary,20220902 20:49:11.603,20220902 20:51:58.936
stationary,20220902 22:53:39.166,20220902 22:57:47.595
flight_cruising,20220903 06:00:02.674,20220903 06:03:51.955
unknown,20220913 04:22:55.424,20220913 04:27:22.358
unknown,20220913 05:19:52.531,20220913 05:22:19.942
