event_type,start,end
forgaing_insect,20180530 07:11:10.828,20180530 07:11:17.468
ground_stationary,20180525 01:16:04.541,20180525 01:16:59.940
ground_stationary,20180525 01:31:04.519,20180525 01:32:00.305
ground_stationary,20180525 01:46:04.573,20180525 01:47:00.089
ground_stationary,20180525 02:01:04.561,20180525 02:02:00.336
ground_stationary,20180525 02:16:04.539,20180525 02:17:00.296
ground_stationary,20180525 02:31:04.549,20180525 02:32:00.310
ground_stationary,20180525 02:46:04.504,20180525 02:47:00.312
ground_stationary,20180525 03:01:04.573,20180525 03:02:00.288
ground_stationary,20180525 03:16:04.571,20180525 03:17:00.291
ground_stationary,20180525 03:31:04.568,20180525 03:32:00.163
unknown,20180525 03:46:04.611,20180525 03:47:00.248
ground_stationary,20180525 04:01:04.589,20180525 04:02:00.461
ground_stationary,20180525 04:16:28.435,20180525 04:17:00.365
ground_stationary,20180525 04:31:04.666,20180525 04:31:59.899
ground_stationary,20180525 04:46:04.510,20180525 04:47:00.313
ground_stationary,20180525 05:01:04.632,20180525 05:01:59.848
unknown,20180525 05:16:04.523,20180525 05:16:12.642
flying_active,20180525 05:16:32.142,20180525 05:16:34.494
stationary,20180525 05:31:04.512,20180525 05:32:00.291
stationary,20180525 05:46:04.596,20180525 05:47:00.407
flying_active,20180525 06:01:28.503,20180525 06:02:00.371
stationary,20180525 06:16:04.659,20180525 06:17:00.445
stationary,20180525 06:46:04.708,20180525 06:47:00.438
ground_stationary,20180525 07:01:04.587,20180525 07:02:00.221
ground_stationary,20180525 07:16:04.594,20180525 07:16:59.940
ground_stationary,20180525 07:31:04.571,20180525 07:32:00.346
ground_stationary,20180525 07:46:04.616,20180525 07:47:00.104
unknown,20180526 06:29:59.504,20180526 06:30:56.348
bathing_poss,20180526 01:25:02.894,20180526 01:25:59.443
bathing,20180526 02:33:24.776,20180526 02:34:21.120
flying_active,20180526 02:35:33.315,20180526 02:35:49.081
ground_stationary,20180526 02:35:59.495,20180526 02:36:28.481
stationary,20180526 03:00:19.025,20180526 03:00:52.598
