time,RW_x,RW_y,RW_z,label,l_val,predicted_label,confidence
1.53E+12,-5.146326,-1.948423,8.822957,flight_take_off,2,2,0.54380286
1.53E+12,-3.126094,-0.64628285,9.560199,flight_take_off,2,2,0.44491896
1.53E+12,-2.9250283,-2.7622607,9.033598,flight_take_off,2,4,0.35693234
1.53E+12,-1.2686293,-3.6143966,9.024023,flight_take_off,2,2,0.3949138
1.53E+12,3.1548176,-8.784659,2.1973617,flight_take_off,2,4,0.35422933
1.53E+12,-1.3069274,-14.385777,3.8824842,flight_take_off,2,4,0.3579417
1.53E+12,4.303765,-9.943181,1.2399056,flight_take_off,2,1,0.37890407
1.53E+12,-1.7856555,-2.9633265,7.654861,flight_take_off,2,1,0.43733746
1.53E+12,-0.8664977,-4.772918,-7.12826,stationary,1,1,0.30831918
1.53E+12,5.529309,-8.985725,6.410168,stationary,1,1,0.30829135
1.53E+12,7.4154973,-7.9708214,6.6016593,stationary,1,3,0.28517395
1.53E+12,-1.2686293,-6.2952733,4.7441945,stationary,1,1,0.30549648
1.53E+12,6.0080366,-2.6377914,9.550624,stationary,1,1,0.30915666
1.53E+12,-1.4505459,-4.428234,-0.78032666,stationary,1,1,0.3300514
1.53E+12,1.4888442,-11.36979,1.862252,stationary,1,1,0.38384354
1.53E+12,6.5059137,-9.617646,3.7101421,stationary,1,1,0.39715645
1.53E+12,3.5665238,-7.9037995,7.2240057,stationary,1,1,0.37823805
1.53E+12,3.384607,-13.543216,9.62722,stationary,1,1,0.37038633
1.53E+12,1.5271424,-3.2984362,4.045252,flight_cruising,3,1,0.28742996
1.53E+12,7.5399666,-4.8973875,4.3324885,flight_cruising,3,3,0.2853887
1.53E+12,8.5740185,-4.1026993,3.5282254,flight_cruising,3,3,0.30813903
1.53E+12,4.543129,-12.882571,13.619812,flight_cruising,3,4,0.33022404
1.53E+12,4.2941904,-3.8729098,3.0016246,flight_cruising,3,1,0.30500448
1.53E+12,4.7537694,-13.744282,10.364462,flight_cruising,3,4,0.30586845
1.53E+12,-0.76117754,-7.1665583,7.310177,flight_cruising,3,4,0.3351714
1.53E+12,-2.0728924,-0.11968201,6.783576,flight_cruising,3,1,0.18996921
1.53E+12,-9.129343,-11.254896,-1.5462915,flight_cruising,3,3,0.29258907
1.53E+12,0.062234644,-4.715471,-10.958084,flight_cruising,3,3,0.3056907
1.53E+12,2.647366,-8.392102,-0.15798025,flight_cruising,3,3,0.4018654
1.53E+12,4.83994,-3.9782298,1.1728836,flight_cruising,3,3,0.215597
1.53E+12,-5.222923,-11.743198,-6.668681,flight_cruising,3,3,0.29253098
1.53E+12,4.6388745,-6.256975,8.382527,flight_cruising,3,3,0.28596503
1.53E+12,2.3697038,-5.2420716,9.263388,flight_cruising,3,3,0.31439748
1.53E+12,4.9739842,2.1111906,12.576185,flight_cruising,3,3,0.31970146
1.53E+12,8.746361,-13.13151,9.129343,flight_cruising,3,1,0.30764645
1.53E+12,7.9708214,-10.891063,7.195282,flight_cruising,3,3,0.23823847
1.53E+12,3.5090764,-11.207023,-3.4707782,flight_cruising,3,3,0.24050021
1.53E+12,-2.5994933,-6.180379,-4.1888704,flight_cruising,3,1,0.28653967
1.53E+12,2.5228968,-4.7537694,-3.4612036,flight_cruising,3,1,0.31455928
1.53E+12,4.7441945,-14.74961,-9.54105,flight_cruising,3,1,0.2747942
1.53E+12,3.758015,-5.692076,4.3707867,flight_cruising,3,3,0.34364435
1.53E+12,5.2516465,-2.4654493,9.579348,flight_cruising,3,3,0.36825296
1.53E+12,4.4856815,-1.1633091,5.500585,flight_cruising,3,3,0.35481378
1.53E+12,2.34098,-5.2037735,5.950589,flight_cruising,3,4,0.33858195
1.53E+12,7.2335806,2.9537518,19.594337,flight_cruising,3,4,0.3273508
1.53E+12,12.537887,-4.7250457,1.5845897,flight_cruising,3,4,0.33209425
1.53E+12,7.482519,-5.1367517,0.28244954,flight_cruising,3,4,0.33669207
1.53E+12,7.808054,2.867581,11.475111,flight_cruising,3,4,0.41915652
1.53E+12,4.543129,-6.113357,19.594337,flight_cruising,3,4,0.44500378
1.53E+12,-5.8644185,-1.622888,2.2260852,flight_cruising,3,1,0.31047264
1.53E+12,11.953838,-11.350641,-0.33032233,flight_cruising,3,1,0.36835706
1.53E+12,0.09095833,-11.341067,-10.958084,flight_cruising,3,1,0.2995627
1.53E+12,5.797396,-11.72405,-4.275041,flight_cruising,3,1,0.31196687
1.53E+12,3.6526947,-12.279374,-6.630383,flight_cruising,3,3,0.27807707
1.53E+12,-6.745278,-19.594337,-19.603912,flight_cruising,3,3,0.287228
1.53E+12,-2.7431116,-6.5346375,1.4122477,flight_cruising,3,3,0.34670603
1.53E+12,-4.916537,-1.5462915,-2.3122563,flight_cruising,3,4,0.31908238
1.53E+12,2.427151,-2.2356598,13.141085,flight_cruising,3,2,0.3625659
1.53E+12,5.586756,1.7473572,8.133589,flight_cruising,3,2,0.6132492
1.53E+12,-6.0846334,-5.232497,5.7686725,bathing,5,2,0.37360588
1.53E+12,-4.782493,-8.583593,4.236743,bathing,5,4,0.4411933
1.53E+12,-7.693159,1.5654407,-10.622974,bathing,5,3,0.31707963
1.53E+12,-2.4463003,-8.44955,-6.7357035,bathing,5,3,0.25880575
1.53E+12,4.131423,-8.258059,-1.6037389,bathing,5,3,0.23223035
1.53E+12,4.2558923,-10.105948,1.6707608,bathing,5,1,0.2513513
1.53E+12,1.0101161,-7.788905,4.342063,flight_take_off,2,1,0.33329123
1.53E+12,3.0973704,-7.4250717,2.7622607,flight_take_off,2,1,0.4358049
1.53E+12,4.2080193,-8.564445,2.561195,flight_take_off,2,3,0.26308227
1.53E+12,3.9016335,-8.66019,3.0973704,flight_take_off,2,2,0.3438672
1.53E+12,-6.113357,-8.641041,4.7537694,flight_take_off,2,2,0.39927983
1.53E+12,-1.6994845,-14.692163,-5.194199,flight_take_off,2,2,0.5066395
1.53E+12,-0.09095833,7.2335806,8.593168,flight_take_off,2,2,0.6045996
1.53E+12,-0.99096704,-5.950589,11.800646,flight_take_off,2,2,0.61092114
1.53E+12,10.115523,-11.972988,1.0484143,flight_take_off,2,2,0.65139395
1.53E+12,-2.647366,-2.2643836,1.9196993,flight_take_off,2,2,0.66632885
1.53E+12,7.635712,-9.828286,10.5080805,flight_take_off,2,2,0.6425655
1.53E+12,5.0122824,1.3356512,19.508167,flight_take_off,2,2,0.60786533
1.53E+12,-1.5271424,3.451629,12.786825,flight_take_off,2,2,0.5518462
1.53E+12,1.6516117,-10.29744,-3.2697124,flight_take_off,2,2,0.41023943
1.53E+12,3.8154624,-1.5558661,9.560199,flight_take_off,2,2,0.5327958
1.53E+12,10.699572,-5.7782474,7.8846507,flight_take_off,2,2,0.5703912
1.53E+12,-8.229335,-6.2761245,1.5271424,flight_take_off,2,2,0.57209027
1.53E+12,-5.1846247,-6.9463434,2.0920415,flight_take_off,2,2,0.62189275
1.53E+12,-2.0728924,-4.284616,5.682502,flight_take_off,2,2,0.62721944
1.53E+12,0.69415563,-0.00478728,11.140001,flight_take_off,2,2,0.633344
